,SMILES,pIGC50
sample_1068,Cc1cc(Cl)c([N+](=O)[O-])cc1[N+](=O)[O-],2.33
sample_1069,O=Cc1cc(I)cc(I)c1O,2.35
sample_1070,CCCCCCCCCOC(=O)c1ccc(O)cc1,2.63
sample_1071,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)cc1Cl,2.72
sample_1072,NC(=O)COc1ccccc1,-0.73
sample_1073,N=C(N)NC(=N)Nc1ccccc1,-0.39
sample_1074,NC(=O)Oc1ccccc1,-0.39
sample_1075,O=C1CCC(c2ccccc2)O1,-0.05
sample_1076,O=C(NO)c1ccccc1,0.38
sample_1077,CC(=O)CC(=O)c1ccccc1,0.57
sample_1078,NC(=S)Nc1ccccc1,0.61
sample_1079,NCCCCc1ccccc1,0.62
sample_1080,O=Nc1ccc(O)cc1,0.65
sample_1081,O=CC=Cc1ccccc1,0.68
sample_1082,CCOC(=O)C(Cc1ccccc1)C(=O)OCC,0.71
sample_1083,N#CSCc1ccccc1,1.05
sample_1084,C=CC(=O)OCc1ccccc1,1.35
sample_1085,O=C(C=Cc1ccccc1)c1ccccc1,1.51
sample_1086,CCOC(=O)C#Cc1ccccc1,1.67
sample_1087,O=CC(Cl)=Cc1ccccc1,1.73
sample_1088,O=C(CBr)Oc1ccc([N+](=O)[O-])cc1,1.81
sample_1089,O=CC#Cc1ccccc1,2.02
sample_1090,O=[N+]([O-])c1cc(N=C=S)ccc1Cl,2.11
sample_1091,O=[N+]([O-])c1ccc(CBr)cc1,2.31
sample_1092,N#Cc1c(F)c(F)c(C#N)c(F)c1F,2.55
sample_1093,S=C=NCc1ccccc1,2.74
sample_1094,COc1cccc(O)c1O,0.4597
sample_1095,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,2.7542
sample_1096,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,2.2501
sample_1097,Oc1cc(Cl)cc(Cl)c1O,1.3703
sample_1098,Oc1cc(Br)c(O)cc1Br,1.5466
sample_1099,Oc1c(Br)cccc1Br,1.1428
sample_1100,CCN(CC)c1cccc(O)c1,0.5104
sample_1101,Cc1cc([N+](=O)[O-])ccc1O,1.3782
sample_1102,Oc1ccc(Cl)c(Cl)c1Cl,1.988
sample_1103,CC(=O)c1cc(Br)ccc1O,0.7542
sample_1104,N#Cc1ccc(O)cc1Cl,1.5114
sample_1105,COc1cc(O)cc(OC)c1O,1.723
sample_1106,O=[N+]([O-])c1cccc(Br)c1O,1.4152
sample_1107,CCCOC(=O)c1ccc(O)cc1,0.8645
sample_1108,Oc1cccc(F)c1O,0.9175
sample_1109,COC(=O)c1cc(O)ccc1O,0.5058
sample_1110,Nc1cc([N+](=O)[O-])ccc1Cl,0.6039
sample_1111,Nc1c([N+](=O)[O-])cc(Cl)cc1[N+](=O)[O-],1.1538
sample_1112,Cc1cc(O)ccc1N,1.0412
sample_1113,O=S=Nc1ccccc1,0.3638
sample_1114,Cc1ccc(N)cc1O,-0.3896
sample_1115,Nc1cc(O)ccc1Cl,0.1008
sample_1116,Nc1ccc(O)c(Cl)c1,0.7239
sample_1117,Cc1c(Cl)cc(N)c(O)c1Cl,1.655
sample_1118,Nc1cc(Cl)ccc1[N+](=O)[O-],0.6995
sample_1119,Cc1cc([N+](=O)[O-])cc(Br)c1N,1.1412
sample_1120,CN(C)c1ccc(N=O)cc1,2.4776
sample_1121,Nc1c(Br)cc(C(F)(F)F)cc1[N+](=O)[O-],1.2581
sample_1122,CCN(CC)c1ccc(N=O)cc1,2.5186
sample_1123,O=C(CBr)Oc1ccc([N+](=O)[O-])cc1,1.8055
sample_1124,CC(=O)Oc1ccc([N+](=O)[O-])cc1,1.3474
sample_1125,O=[N+]([O-])c1ccc(CBr)cc1,2.3051
sample_1126,O=[N+]([O-])c1cc(Cl)ccc1Br,1.281
sample_1127,COc1c(F)cc(Br)cc1[N+](=O)[O-],0.9707
sample_1128,NC(=O)c1cc(Cl)ccc1[N+](=O)[O-],-0.3152
sample_1129,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],0.4259
sample_1130,NC(=O)c1cc([N+](=O)[O-])ccc1Cl,1.2673
sample_1131,COC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,0.2722
sample_1132,O=[N+]([O-])c1ccc(Cl)cc1[N+](=O)[O-],2.2496
sample_1133,N#Cc1cc([N+](=O)[O-])ccc1Cl,1.5227
sample_1134,N#Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,2.5783
sample_1135,O=Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.0363
sample_1136,N#Cc1ccc(C(F)(F)F)cc1[N+](=O)[O-],1.6598
sample_1137,O=[N+]([O-])c1cccc([N+](=O)[O-])c1Cl,1.8752
sample_1138,N#Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.7106
sample_1139,O=[N+]([O-])c1cc(F)ccc1Cl,0.505
sample_1140,O=[N+]([O-])c1c(F)cc(F)cc1F,0.8002
sample_1141,O=[N+]([O-])c1cc(F)c(F)c(F)c1,1.7888
sample_1142,Clc1cccc(Cl)c1,0.558
sample_1143,Cc1ccccc1C(N)=O,-0.9509
sample_1144,CCC(=O)Cc1ccccc1,-0.2076
sample_1145,COc1ccccc1CC(=O)O,0.0202
sample_1146,N#Cc1ccc(C(F)(F)F)cc1Cl,0.1129
sample_1147,N#Cc1cc(C(F)(F)F)ccc1Cl,0.5727
sample_1148,CC(C)CC(=O)OCCc1ccccc1,1.1033
sample_1149,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,3.1695
sample_1150,CC=Cc1ccc(OC)cc1,0.8946
sample_1151,CC(C)C=C(C=O)c1ccccc1,0.8248
sample_1152,c1ccc(N=Nc2ccccc2)cc1,1.875
sample_1153,COc1cccc(C)c1OC,0.03
sample_1154,O=C(C=Cc1ccccc1)OCc1ccccc1,1.9299
sample_1155,Fc1ccc(F)cc1,-0.4604
sample_1156,Fc1cc(F)c(F)c(F)c1F,-0.2499
sample_1157,C=CC(=O)Nc1ccccc1,0.1162
sample_1158,CC(=O)C=Cc1ccccc1,0.8394
sample_1159,C=CS(=O)(=O)Oc1ccccc1,2.0349
sample_1160,N#CCS(=O)(=O)c1ccccc1,-0.24
sample_1161,O=S(=O)(CCCl)c1ccccc1,1.2355
sample_1162,COC(=O)C#Cc1ccccc1,1.7063
sample_1163,O=C(CCl)c1ccccc1,2.1722
sample_1164,C=CC(=O)Oc1ccccc1,1.9228
sample_1165,CC(=NO)C(=O)c1ccccc1,-0.0386
sample_1166,O=COCc1ccccc1,-0.5055
sample_1167,O=C(C[N+](=O)[O-])c1ccccc1,0.3066
sample_1168,N#CCC(=O)c1ccccc1,0.3767
sample_1169,CC(=O)C(C#N)c1ccccc1,0.615
sample_1170,CC(O)C(=O)OCc1ccccc1,-0.5264
sample_1171,CC(C=O)c1ccccc1,0.4624
sample_1172,C=CC(C)(O)CCC=C(C)C,0.0198
sample_1173,CCC=CCO,-0.8707
sample_1174,CC(O)CO,-2.5138
sample_1175,CCCC(O)CC,-0.8469
sample_1176,CCCCCCCCCC(C)O,1.5802
sample_1177,CCCCCCC(O)CC,0.3592
sample_1178,OCc1ccco1,-1.3808
sample_1179,C=CC(O)CCCC,-0.6063
sample_1180,OCC#CCCl,0.1642
sample_1181,CC(O)CN(C)C,-0.7047
sample_1182,CC(C)=CCCC(C)=CCO,0.6978
sample_1183,CCCC(COC)OC,-2.1712
sample_1184,CCCCOCC,-0.6984
sample_1185,C1CCOC1,-1.94
sample_1186,CCNCC,-0.9387
sample_1187,NC1CCCCC1,-0.5672
sample_1188,C=CCN,-0.8267
sample_1189,CCCCNCCC,-0.4637
sample_1190,CCCCCNC,-0.6096
sample_1191,CCOC(=O)CBr,2.6786
sample_1192,CCOC(=O)C(Br)C(=O)OCC,2.2112
sample_1193,CCCCOC(=O)C(C)O,-0.9497
sample_1194,CCCC=CCOC(C)=O,-0.0771
sample_1195,C=C1CCOC1=O,1.1361
sample_1196,CC(=O)CCl,1.6852
sample_1197,CCC(=O)CBr,2.6108
sample_1198,CC(=O)C(C)Br,1.8465
sample_1199,CC(=O)c1ccco1,-1.043
sample_1200,O=C1C=CCO1,-0.0589
sample_1201,O=CCCCC=O,0.0017
sample_1202,O=Cc1ccoc1,0.0024
sample_1203,C=CCI,0.7875
sample_1204,C#CCCCCl,-0.4858
sample_1205,CCCCCCCl,0.7845
sample_1206,CCC(C)I,0.1309
sample_1207,BrC1C=CCCC1,-0.5998
sample_1208,O=C(O)C(O)C(O)C(=O)O,-0.5226
sample_1209,CCCC(Br)C(=O)O,0.2697
sample_1210,O=C(O)CCCCBr,-0.3516
sample_1211,CC(C)(C)C1=CC(=O)C=CC1=O,2.5622
sample_1212,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,0.3524
sample_1213,C=C(Br)C#N,2.3211
