,SMILES,pIGC50_class
sample_1118,Nc1cc(Cl)ccc1[N+](=O)[O-],positive
sample_1119,Cc1cc([N+](=O)[O-])cc(Br)c1N,positive
sample_1120,CN(C)c1ccc(N=O)cc1,positive
sample_1121,Nc1c(Br)cc(C(F)(F)F)cc1[N+](=O)[O-],positive
sample_1122,CCN(CC)c1ccc(N=O)cc1,positive
sample_1123,O=C(CBr)Oc1ccc([N+](=O)[O-])cc1,positive
sample_1124,CC(=O)Oc1ccc([N+](=O)[O-])cc1,positive
sample_1125,O=[N+]([O-])c1ccc(CBr)cc1,positive
sample_1126,O=[N+]([O-])c1cc(Cl)ccc1Br,positive
sample_1127,COc1c(F)cc(Br)cc1[N+](=O)[O-],positive
sample_1128,NC(=O)c1cc(Cl)ccc1[N+](=O)[O-],negative
sample_1129,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],positive
sample_1130,NC(=O)c1cc([N+](=O)[O-])ccc1Cl,positive
sample_1131,COC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,positive
sample_1132,O=[N+]([O-])c1ccc(Cl)cc1[N+](=O)[O-],positive
sample_1133,N#Cc1cc([N+](=O)[O-])ccc1Cl,positive
sample_1134,N#Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,positive
sample_1135,O=Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],positive
sample_1136,N#Cc1ccc(C(F)(F)F)cc1[N+](=O)[O-],positive
sample_1137,O=[N+]([O-])c1cccc([N+](=O)[O-])c1Cl,positive
sample_1138,N#Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],positive
sample_1139,O=[N+]([O-])c1cc(F)ccc1Cl,positive
sample_1140,O=[N+]([O-])c1c(F)cc(F)cc1F,positive
sample_1141,O=[N+]([O-])c1cc(F)c(F)c(F)c1,positive
sample_1142,Clc1cccc(Cl)c1,positive
sample_1143,Cc1ccccc1C(N)=O,negative
sample_1144,CCC(=O)Cc1ccccc1,negative
sample_1145,COc1ccccc1CC(=O)O,negative
sample_1146,N#Cc1ccc(C(F)(F)F)cc1Cl,negative
sample_1147,N#Cc1cc(C(F)(F)F)ccc1Cl,positive
sample_1148,CC(C)CC(=O)OCCc1ccccc1,positive
sample_1149,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,positive
sample_1150,CC=Cc1ccc(OC)cc1,positive
sample_1151,CC(C)C=C(C=O)c1ccccc1,positive
sample_1152,c1ccc(N=Nc2ccccc2)cc1,positive
sample_1153,COc1cccc(C)c1OC,negative
sample_1154,O=C(C=Cc1ccccc1)OCc1ccccc1,positive
sample_1155,Fc1ccc(F)cc1,negative
sample_1156,Fc1cc(F)c(F)c(F)c1F,negative
sample_1157,C=CC(=O)Nc1ccccc1,negative
sample_1158,CC(=O)C=Cc1ccccc1,positive
sample_1159,C=CS(=O)(=O)Oc1ccccc1,positive
sample_1160,N#CCS(=O)(=O)c1ccccc1,negative
sample_1161,O=S(=O)(CCCl)c1ccccc1,positive
sample_1162,COC(=O)C#Cc1ccccc1,positive
sample_1163,O=C(CCl)c1ccccc1,positive
sample_1164,C=CC(=O)Oc1ccccc1,positive
sample_1165,CC(=NO)C(=O)c1ccccc1,negative
sample_1166,O=COCc1ccccc1,negative
sample_1167,O=C(C[N+](=O)[O-])c1ccccc1,positive
sample_1168,N#CCC(=O)c1ccccc1,positive
sample_1169,CC(=O)C(C#N)c1ccccc1,positive
sample_1170,CC(O)C(=O)OCc1ccccc1,negative
sample_1171,CC(C=O)c1ccccc1,positive
sample_1172,C=CC(C)(O)CCC=C(C)C,negative
sample_1173,CCC=CCO,negative
sample_1174,CC(O)CO,negative
sample_1175,CCCC(O)CC,negative
sample_1176,CCCCCCCCCC(C)O,positive
sample_1177,CCCCCCC(O)CC,positive
sample_1178,OCc1ccco1,negative
sample_1179,C=CC(O)CCCC,negative
sample_1180,OCC#CCCl,negative
sample_1181,CC(O)CN(C)C,negative
sample_1182,CC(C)=CCCC(C)=CCO,positive
sample_1183,CCCC(COC)OC,negative
sample_1184,CCCCOCC,negative
sample_1185,C1CCOC1,negative
sample_1186,CCNCC,negative
sample_1187,NC1CCCCC1,negative
sample_1188,C=CCN,negative
sample_1189,CCCCNCCC,negative
sample_1190,CCCCCNC,negative
sample_1191,CCOC(=O)CBr,positive
sample_1192,CCOC(=O)C(Br)C(=O)OCC,positive
sample_1193,CCCCOC(=O)C(C)O,negative
sample_1194,CCCC=CCOC(C)=O,negative
sample_1195,C=C1CCOC1=O,positive
sample_1196,CC(=O)CCl,positive
sample_1197,CCC(=O)CBr,positive
sample_1198,CC(=O)C(C)Br,positive
sample_1199,CC(=O)c1ccco1,negative
sample_1200,O=C1C=CCO1,negative
sample_1201,O=CCCCC=O,negative
sample_1202,O=Cc1ccoc1,negative
sample_1203,C=CCI,positive
sample_1204,C#CCCCCl,negative
sample_1205,CCCCCCCl,positive
sample_1206,CCC(C)I,negative
sample_1207,BrC1C=CCCC1,negative
sample_1208,O=C(O)C(O)C(O)C(=O)O,negative
sample_1209,CCCC(Br)C(=O)O,positive
sample_1210,O=C(O)CCCCBr,negative
sample_1211,CC(C)(C)C1=CC(=O)C=CC1=O,positive
sample_1212,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,positive
sample_1213,C=C(Br)C#N,positive
