,y,x1,x2,x3,x4,x5
sample_4826,0.136,0.815,0.818,0.461,0.804,0.703
sample_4827,0.136,0.816,0.822,0.455,0.779,0.698
sample_4828,0.136,0.817,0.821,0.452,0.763,0.696
sample_4829,0.136,0.816,0.831,0.451,0.762,0.695
sample_4830,0.136,0.811,0.83,0.45,0.751,0.705
sample_4831,0.136,0.806,0.821,0.454,0.721,0.709
sample_4832,0.136,0.801,0.821,0.455,0.698,0.707
sample_4833,0.136,0.796,0.83,0.455,0.718,0.707
sample_4834,0.136,0.793,0.822,0.459,0.761,0.708
sample_4835,0.136,0.792,0.818,0.464,0.784,0.709
sample_4836,0.136,0.79,0.831,0.458,0.768,0.704
sample_4837,0.136,0.789,0.819,0.442,0.746,0.706
sample_4838,0.136,0.787,0.8,0.425,0.723,0.715
sample_4839,0.136,0.786,0.814,0.416,0.726,0.709
sample_4840,0.136,0.783,0.831,0.407,0.771,0.698
sample_4841,0.238,0.777,0.827,0.403,0.783,0.696
sample_4842,0.238,0.775,0.823,0.402,0.783,0.702
sample_4843,0.238,0.775,0.843,0.401,0.734,0.699
sample_4844,0.238,0.778,0.841,0.401,0.72,0.695
sample_4845,0.238,0.783,0.833,0.4,0.736,0.694
sample_4846,0.238,0.784,0.826,0.396,0.729,0.697
sample_4847,0.238,0.786,0.809,0.394,0.752,0.706
sample_4848,0.238,0.79,0.813,0.405,0.783,0.704
sample_4849,0.238,0.791,0.821,0.416,0.765,0.698
sample_4850,0.238,0.791,0.832,0.416,0.744,0.694
sample_4851,0.238,0.794,0.847,0.419,0.739,0.688
sample_4852,0.238,0.795,0.824,0.429,0.739,0.692
sample_4853,0.238,0.793,0.816,0.438,0.698,0.692
sample_4854,0.238,0.793,0.829,0.443,0.673,0.693
sample_4855,0.238,0.793,0.823,0.464,0.73,0.694
sample_4856,0.238,0.793,0.825,0.49,0.752,0.704
sample_4857,0.238,0.795,0.825,0.493,0.746,0.711
sample_4858,0.238,0.795,0.817,0.488,0.76,0.704
sample_4859,0.238,0.798,0.803,0.487,0.77,0.707
sample_4860,0.238,0.802,0.814,0.488,0.736,0.703
sample_4861,0.0886,0.805,0.831,0.493,0.71,0.699
sample_4862,0.0886,0.808,0.839,0.491,0.734,0.695
sample_4863,0.0886,0.811,0.834,0.501,0.761,0.692
sample_4864,0.0886,0.815,0.827,0.524,0.765,0.694
sample_4865,0.0886,0.816,0.821,0.543,0.732,0.694
sample_4866,0.0886,0.814,0.817,0.563,0.677,0.697
sample_4867,0.0886,0.815,0.809,0.581,0.655,0.7
sample_4868,0.0886,0.818,0.819,0.594,0.704,0.695
sample_4869,0.0886,0.823,0.842,0.608,0.746,0.693
sample_4870,0.0886,0.831,0.841,0.616,0.738,0.697
sample_4871,0.0886,0.839,0.833,0.612,0.734,0.698
sample_4872,0.0886,0.842,0.835,0.607,0.76,0.697
sample_4873,0.0886,0.835,0.836,0.602,0.751,0.701
sample_4874,0.0886,0.83,0.835,0.605,0.701,0.7
sample_4875,0.0886,0.834,0.835,0.611,0.677,0.696
sample_4876,0.0886,0.839,0.825,0.605,0.704,0.694
sample_4877,0.0886,0.843,0.823,0.598,0.714,0.697
sample_4878,0.0886,0.842,0.836,0.607,0.74,0.696
sample_4879,0.0886,0.835,0.829,0.618,0.755,0.698
sample_4880,0.0886,0.828,0.828,0.619,0.709,0.702
sample_4881,0.129,0.825,0.833,0.621,0.707,0.707
sample_4882,0.129,0.827,0.836,0.614,0.715,0.705
sample_4883,0.129,0.832,0.831,0.606,0.723,0.704
sample_4884,0.129,0.832,0.822,0.604,0.713,0.712
sample_4885,0.129,0.829,0.833,0.601,0.725,0.705
sample_4886,0.129,0.829,0.848,0.599,0.752,0.695
sample_4887,0.129,0.829,0.845,0.598,0.72,0.697
sample_4888,0.129,0.826,0.83,0.596,0.713,0.699
sample_4889,0.129,0.82,0.834,0.588,0.724,0.697
sample_4890,0.129,0.818,0.823,0.58,0.709,0.706
sample_4891,0.129,0.814,0.809,0.574,0.713,0.708
sample_4892,0.129,0.81,0.813,0.565,0.734,0.7
sample_4893,0.129,0.807,0.82,0.551,0.777,0.698
sample_4894,0.129,0.81,0.834,0.532,0.795,0.695
sample_4895,0.129,0.815,0.828,0.519,0.765,0.7
sample_4896,0.129,0.818,0.821,0.509,0.734,0.706
sample_4897,0.129,0.821,0.824,0.503,0.718,0.7
sample_4898,0.129,0.82,0.824,0.502,0.728,0.699
sample_4899,0.129,0.82,0.837,0.499,0.753,0.694
sample_4900,0.129,0.82,0.836,0.495,0.741,0.695
sample_4901,0.227,0.823,0.83,0.499,0.73,0.697
sample_4902,0.227,0.824,0.829,0.499,0.724,0.699
sample_4903,0.227,0.823,0.821,0.498,0.732,0.708
sample_4904,0.227,0.823,0.829,0.498,0.736,0.707
sample_4905,0.227,0.823,0.846,0.494,0.733,0.689
sample_4906,0.227,0.821,0.832,0.493,0.743,0.689
sample_4907,0.227,0.817,0.826,0.481,0.715,0.699
sample_4908,0.227,0.812,0.814,0.474,0.717,0.706
sample_4909,0.227,0.804,0.822,0.462,0.736,0.709
sample_4910,0.227,0.794,0.852,0.455,0.745,0.697
sample_4911,0.227,0.788,0.851,0.441,0.755,0.703
sample_4912,0.227,0.787,0.852,0.422,0.707,0.696
sample_4913,0.227,0.792,0.835,0.412,0.707,0.696
sample_4914,0.227,0.795,0.831,0.403,0.715,0.704
sample_4915,0.227,0.802,0.847,0.397,0.713,0.699
sample_4916,0.227,0.809,0.832,0.401,0.743,0.702
sample_4917,0.227,0.809,0.826,0.399,0.736,0.704
sample_4918,0.227,0.809,0.834,0.395,0.706,0.7
sample_4919,0.227,0.81,0.826,0.402,0.727,0.698
sample_4920,0.227,0.809,0.832,0.403,0.732,0.698
sample_4921,0.242,0.806,0.839,0.391,0.727,0.7
sample_4922,0.242,0.799,0.844,0.385,0.699,0.702
sample_4923,0.242,0.793,0.841,0.383,0.736,0.703
sample_4924,0.242,0.791,0.831,0.381,0.769,0.699
sample_4925,0.242,0.792,0.831,0.373,0.718,0.705
sample_4926,0.242,0.795,0.842,0.364,0.714,0.699
sample_4927,0.242,0.793,0.827,0.365,0.73,0.692
sample_4928,0.242,0.787,0.825,0.359,0.723,0.696
sample_4929,0.242,0.785,0.832,0.354,0.755,0.697
sample_4930,0.242,0.787,0.822,0.351,0.76,0.702
sample_4931,0.242,0.787,0.828,0.345,0.727,0.702
sample_4932,0.242,0.781,0.839,0.348,0.717,0.698
sample_4933,0.242,0.783,0.825,0.349,0.712,0.702
sample_4934,0.242,0.789,0.826,0.341,0.741,0.701
sample_4935,0.242,0.795,0.826,0.332,0.733,0.702
sample_4936,0.242,0.8,0.827,0.335,0.735,0.701
sample_4937,0.242,0.806,0.83,0.341,0.745,0.7
sample_4938,0.242,0.812,0.826,0.349,0.74,0.702
sample_4939,0.242,0.814,0.834,0.359,0.742,0.697
sample_4940,0.242,0.816,0.828,0.362,0.708,0.697
sample_4941,0.176,0.819,0.81,0.37,0.708,0.699
sample_4942,0.176,0.821,0.804,0.373,0.744,0.701
sample_4943,0.176,0.82,0.82,0.372,0.759,0.698
sample_4944,0.176,0.815,0.823,0.378,0.719,0.698
sample_4945,0.176,0.812,0.823,0.377,0.716,0.701
sample_4946,0.176,0.811,0.844,0.375,0.736,0.695
sample_4947,0.176,0.813,0.832,0.378,0.748,0.697
sample_4948,0.176,0.82,0.809,0.375,0.736,0.705
sample_4949,0.176,0.826,0.823,0.38,0.723,0.699
sample_4950,0.176,0.829,0.824,0.384,0.735,0.699
sample_4951,0.176,0.832,0.819,0.381,0.739,0.702
sample_4952,0.176,0.83,0.833,0.388,0.719,0.7
sample_4953,0.176,0.828,0.823,0.395,0.713,0.702
sample_4954,0.176,0.831,0.808,0.399,0.745,0.706
sample_4955,0.176,0.829,0.819,0.401,0.743,0.705
sample_4956,0.176,0.826,0.826,0.403,0.708,0.702
sample_4957,0.176,0.828,0.823,0.41,0.718,0.7
sample_4958,0.176,0.832,0.831,0.419,0.749,0.694
sample_4959,0.176,0.836,0.828,0.418,0.763,0.696
sample_4960,0.176,0.835,0.81,0.419,0.733,0.703
sample_4961,0.157,0.832,0.803,0.431,0.752,0.704
sample_4962,0.157,0.829,0.823,0.436,0.763,0.696
sample_4963,0.157,0.826,0.823,0.432,0.741,0.703
sample_4964,0.157,0.824,0.826,0.427,0.738,0.705
sample_4965,0.157,0.824,0.836,0.425,0.721,0.699
sample_4966,0.157,0.824,0.835,0.43,0.73,0.696
sample_4967,0.157,0.825,0.834,0.425,0.749,0.696
sample_4968,0.157,0.829,0.832,0.417,0.774,0.699
sample_4969,0.157,0.833,0.834,0.416,0.78,0.698
sample_4970,0.157,0.837,0.832,0.416,0.736,0.696
sample_4971,0.157,0.843,0.827,0.423,0.732,0.694
sample_4972,0.157,0.845,0.824,0.428,0.732,0.694
sample_4973,0.157,0.839,0.83,0.431,0.735,0.693
sample_4974,0.157,0.835,0.837,0.442,0.733,0.694
sample_4975,0.157,0.837,0.831,0.452,0.714,0.696
sample_4976,0.157,0.84,0.82,0.457,0.717,0.703
sample_4977,0.157,0.841,0.826,0.458,0.718,0.707
sample_4978,0.157,0.839,0.827,0.456,0.764,0.702
sample_4979,0.157,0.832,0.836,0.454,0.768,0.695
sample_4980,0.157,0.827,0.832,0.455,0.732,0.695
sample_4981,0.147,0.824,0.813,0.453,0.719,0.707
sample_4982,0.147,0.818,0.815,0.45,0.721,0.711
sample_4983,0.147,0.814,0.817,0.45,0.731,0.708
sample_4984,0.147,0.813,0.827,0.439,0.734,0.703
sample_4985,0.147,0.816,0.841,0.436,0.744,0.697
sample_4986,0.147,0.817,0.839,0.441,0.717,0.696
sample_4987,0.147,0.818,0.827,0.437,0.714,0.698
sample_4988,0.147,0.82,0.836,0.43,0.729,0.697
sample_4989,0.147,0.82,0.846,0.431,0.724,0.693
sample_4990,0.147,0.822,0.838,0.439,0.729,0.691
sample_4991,0.147,0.824,0.843,0.441,0.713,0.693
sample_4992,0.147,0.82,0.847,0.443,0.693,0.693
sample_4993,0.147,0.817,0.834,0.442,0.738,0.695
sample_4994,0.147,0.811,0.823,0.446,0.734,0.702
sample_4995,0.147,0.808,0.823,0.444,0.716,0.706
sample_4996,0.147,0.809,0.832,0.433,0.745,0.705
sample_4997,0.147,0.808,0.833,0.435,0.734,0.704
sample_4998,0.147,0.809,0.838,0.437,0.731,0.7
sample_4999,0.147,0.814,0.835,0.429,0.728,0.7
sample_5000,0.147,0.819,0.834,0.428,0.743,0.689
sample_5001,0.2,0.822,0.835,0.434,0.773,0.681
sample_5002,0.2,0.822,0.82,0.437,0.762,0.687
sample_5003,0.2,0.823,0.811,0.447,0.759,0.687
sample_5004,0.2,0.817,0.825,0.456,0.743,0.69
sample_5005,0.2,0.809,0.834,0.455,0.725,0.693
sample_5006,0.2,0.804,0.822,0.456,0.747,0.694
sample_5007,0.2,0.802,0.823,0.453,0.74,0.696
sample_5008,0.2,0.805,0.833,0.454,0.719,0.699
sample_5009,0.2,0.803,0.831,0.454,0.735,0.705
sample_5010,0.2,0.803,0.833,0.451,0.74,0.704
sample_5011,0.2,0.81,0.837,0.446,0.74,0.702
sample_5012,0.2,0.81,0.839,0.443,0.725,0.701
sample_5013,0.2,0.809,0.827,0.449,0.74,0.698
sample_5014,0.2,0.815,0.82,0.45,0.76,0.697
sample_5015,0.2,0.82,0.831,0.451,0.723,0.697
sample_5016,0.2,0.826,0.826,0.451,0.705,0.703
sample_5017,0.2,0.829,0.835,0.452,0.758,0.696
sample_5018,0.2,0.831,0.836,0.457,0.782,0.694
sample_5019,0.2,0.828,0.831,0.46,0.762,0.697
sample_5020,0.2,0.823,0.83,0.466,0.728,0.696
sample_5021,0.176,0.822,0.822,0.473,0.7,0.697
sample_5022,0.176,0.822,0.833,0.471,0.737,0.693
sample_5023,0.176,0.818,0.836,0.464,0.756,0.698
sample_5024,0.176,0.813,0.825,0.463,0.738,0.705
sample_5025,0.176,0.811,0.816,0.463,0.72,0.708
sample_5026,0.176,0.812,0.815,0.459,0.717,0.708
sample_5027,0.176,0.816,0.805,0.449,0.713,0.71
sample_5028,0.176,0.819,0.817,0.449,0.736,0.705
sample_5029,0.176,0.823,0.833,0.459,0.767,0.694
sample_5030,0.176,0.822,0.827,0.465,0.724,0.697
sample_5031,0.176,0.82,0.817,0.464,0.714,0.705
sample_5032,0.176,0.819,0.831,0.464,0.723,0.7
sample_5033,0.176,0.816,0.849,0.466,0.733,0.693
sample_5034,0.176,0.816,0.846,0.467,0.752,0.694
sample_5035,0.176,0.814,0.831,0.47,0.74,0.699
sample_5036,0.176,0.815,0.812,0.471,0.735,0.703
sample_5037,0.176,0.816,0.822,0.468,0.725,0.698
sample_5038,0.176,0.811,0.841,0.465,0.732,0.696
sample_5039,0.176,0.816,0.838,0.472,0.726,0.697
sample_5040,0.176,0.826,0.83,0.475,0.731,0.696
sample_5041,0.155,0.832,0.824,0.476,0.741,0.697
sample_5042,0.155,0.836,0.835,0.487,0.703,0.698
sample_5043,0.155,0.833,0.839,0.497,0.738,0.7
sample_5044,0.155,0.832,0.838,0.495,0.765,0.697
sample_5045,0.155,0.83,0.839,0.49,0.731,0.699
sample_5046,0.155,0.826,0.829,0.499,0.723,0.699
sample_5047,0.155,0.826,0.82,0.504,0.715,0.701
sample_5048,0.155,0.826,0.825,0.495,0.715,0.705
sample_5049,0.155,0.827,0.816,0.489,0.751,0.703
sample_5050,0.155,0.829,0.827,0.485,0.761,0.698
sample_5051,0.155,0.834,0.851,0.482,0.748,0.693
sample_5052,0.155,0.835,0.843,0.49,0.732,0.695
sample_5053,0.155,0.834,0.837,0.495,0.698,0.69
sample_5054,0.155,0.834,0.855,0.5,0.696,0.684
sample_5055,0.155,0.836,0.844,0.505,0.697,0.691
sample_5056,0.155,0.836,0.826,0.496,0.695,0.702
sample_5057,0.155,0.834,0.816,0.49,0.718,0.71
sample_5058,0.155,0.832,0.827,0.49,0.73,0.705
sample_5059,0.155,0.83,0.833,0.494,0.716,0.699
sample_5060,0.155,0.828,0.835,0.502,0.752,0.694
sample_5061,0.174,0.826,0.827,0.501,0.765,0.698
sample_5062,0.174,0.824,0.824,0.494,0.724,0.704
sample_5063,0.174,0.821,0.839,0.488,0.727,0.698
sample_5064,0.174,0.82,0.829,0.488,0.738,0.698
sample_5065,0.174,0.819,0.815,0.49,0.745,0.702
sample_5066,0.174,0.813,0.815,0.486,0.735,0.706
sample_5067,0.174,0.81,0.809,0.484,0.725,0.713
sample_5068,0.174,0.809,0.816,0.475,0.715,0.715
sample_5069,0.174,0.811,0.822,0.469,0.734,0.711
sample_5070,0.174,0.813,0.818,0.462,0.752,0.705
sample_5071,0.174,0.815,0.822,0.456,0.744,0.702
sample_5072,0.174,0.818,0.824,0.455,0.732,0.702
sample_5073,0.174,0.822,0.835,0.461,0.702,0.695
sample_5074,0.174,0.82,0.83,0.463,0.706,0.697
sample_5075,0.174,0.813,0.813,0.458,0.717,0.704
sample_5076,0.174,0.806,0.805,0.465,0.724,0.704
sample_5077,0.174,0.803,0.811,0.459,0.739,0.705
sample_5078,0.174,0.802,0.827,0.456,0.733,0.704
sample_5079,0.174,0.805,0.828,0.453,0.743,0.702
sample_5080,0.174,0.805,0.831,0.444,0.745,0.704
sample_5081,0.192,0.805,0.846,0.445,0.744,0.698
sample_5082,0.192,0.813,0.827,0.439,0.738,0.701
sample_5083,0.192,0.815,0.808,0.437,0.722,0.704
sample_5084,0.192,0.814,0.817,0.441,0.721,0.704
sample_5085,0.192,0.809,0.831,0.446,0.718,0.699
sample_5086,0.192,0.801,0.82,0.451,0.718,0.699
sample_5087,0.192,0.796,0.822,0.451,0.763,0.701
sample_5088,0.192,0.791,0.828,0.443,0.761,0.702
sample_5089,0.192,0.788,0.812,0.439,0.722,0.706
sample_5090,0.192,0.782,0.825,0.435,0.758,0.699
sample_5091,0.192,0.778,0.833,0.423,0.773,0.702
sample_5092,0.192,0.78,0.822,0.418,0.755,0.709
sample_5093,0.192,0.782,0.82,0.408,0.727,0.707
sample_5094,0.192,0.785,0.828,0.399,0.702,0.7
sample_5095,0.192,0.787,0.834,0.391,0.73,0.702
sample_5096,0.192,0.79,0.817,0.393,0.721,0.709
sample_5097,0.192,0.792,0.81,0.396,0.706,0.708
sample_5098,0.192,0.794,0.829,0.396,0.715,0.7
sample_5099,0.192,0.795,0.827,0.406,0.726,0.701
sample_5100,0.192,0.792,0.802,0.41,0.726,0.711
sample_5101,0.211,0.79,0.82,0.401,0.722,0.702
sample_5102,0.211,0.795,0.842,0.398,0.718,0.697
sample_5103,0.211,0.796,0.843,0.4,0.682,0.699
sample_5104,0.211,0.796,0.846,0.397,0.706,0.695
sample_5105,0.211,0.798,0.83,0.403,0.722,0.698
sample_5106,0.211,0.797,0.832,0.41,0.726,0.699
sample_5107,0.211,0.796,0.843,0.407,0.728,0.697
sample_5108,0.211,0.795,0.833,0.411,0.711,0.701
sample_5109,0.211,0.788,0.831,0.413,0.733,0.701
sample_5110,0.211,0.783,0.821,0.401,0.744,0.708
sample_5111,0.211,0.789,0.807,0.394,0.726,0.713
sample_5112,0.211,0.798,0.818,0.392,0.728,0.703
sample_5113,0.211,0.803,0.837,0.389,0.72,0.695
sample_5114,0.211,0.804,0.833,0.394,0.717,0.696
sample_5115,0.211,0.798,0.81,0.401,0.713,0.707
sample_5116,0.211,0.788,0.809,0.403,0.725,0.711
sample_5117,0.211,0.783,0.808,0.407,0.736,0.71
sample_5118,0.211,0.783,0.809,0.408,0.743,0.706
sample_5119,0.211,0.783,0.833,0.406,0.745,0.695
sample_5120,0.211,0.783,0.848,0.406,0.729,0.687
sample_5121,0.197,0.781,0.828,0.402,0.743,0.696
sample_5122,0.197,0.778,0.827,0.395,0.763,0.7
sample_5123,0.197,0.78,0.84,0.388,0.738,0.695
sample_5124,0.197,0.785,0.834,0.383,0.725,0.696
sample_5125,0.197,0.79,0.832,0.385,0.74,0.697
sample_5126,0.197,0.797,0.828,0.39,0.751,0.699
sample_5127,0.197,0.803,0.827,0.396,0.721,0.695
sample_5128,0.197,0.805,0.825,0.394,0.735,0.692
sample_5129,0.197,0.802,0.827,0.394,0.73,0.693
sample_5130,0.197,0.797,0.824,0.402,0.719,0.695
sample_5131,0.197,0.788,0.83,0.402,0.734,0.696
sample_5132,0.197,0.782,0.838,0.402,0.719,0.694
sample_5133,0.197,0.783,0.828,0.392,0.734,0.697
sample_5134,0.197,0.783,0.83,0.376,0.735,0.7
sample_5135,0.197,0.788,0.835,0.372,0.738,0.696
sample_5136,0.197,0.79,0.841,0.377,0.743,0.694
sample_5137,0.197,0.786,0.843,0.378,0.752,0.691
sample_5138,0.197,0.781,0.833,0.382,0.729,0.694
sample_5139,0.197,0.78,0.832,0.38,0.711,0.699
sample_5140,0.197,0.784,0.841,0.372,0.737,0.694
sample_5141,0.19,0.792,0.842,0.372,0.73,0.694
sample_5142,0.19,0.798,0.844,0.371,0.742,0.695
sample_5143,0.19,0.807,0.833,0.368,0.758,0.698
sample_5144,0.19,0.808,0.824,0.371,0.726,0.701
sample_5145,0.19,0.806,0.831,0.383,0.716,0.7
sample_5146,0.19,0.806,0.83,0.396,0.712,0.703
sample_5147,0.19,0.8,0.824,0.403,0.716,0.701
sample_5148,0.19,0.796,0.828,0.393,0.731,0.7
sample_5149,0.19,0.8,0.831,0.391,0.72,0.7
sample_5150,0.19,0.804,0.832,0.396,0.721,0.696
sample_5151,0.19,0.811,0.831,0.398,0.738,0.69
sample_5152,0.19,0.816,0.824,0.402,0.743,0.697
sample_5153,0.19,0.818,0.831,0.403,0.736,0.702
sample_5154,0.19,0.817,0.836,0.409,0.744,0.696
sample_5155,0.19,0.813,0.831,0.415,0.749,0.695
sample_5156,0.19,0.812,0.83,0.414,0.719,0.698
sample_5157,0.19,0.813,0.83,0.414,0.704,0.701
sample_5158,0.19,0.812,0.831,0.419,0.705,0.698
sample_5159,0.19,0.815,0.826,0.423,0.718,0.693
sample_5160,0.19,0.818,0.835,0.42,0.729,0.695
sample_5161,0.158,0.818,0.843,0.418,0.731,0.693
sample_5162,0.158,0.819,0.838,0.426,0.74,0.697
sample_5163,0.158,0.817,0.835,0.438,0.725,0.7
sample_5164,0.158,0.811,0.832,0.442,0.744,0.701
sample_5165,0.158,0.808,0.832,0.444,0.749,0.7
sample_5166,0.158,0.81,0.833,0.435,0.738,0.699
sample_5167,0.158,0.811,0.822,0.427,0.749,0.707
sample_5168,0.158,0.812,0.823,0.434,0.737,0.701
sample_5169,0.158,0.814,0.833,0.435,0.738,0.701
sample_5170,0.158,0.817,0.829,0.431,0.738,0.703
sample_5171,0.158,0.819,0.827,0.436,0.739,0.697
sample_5172,0.158,0.816,0.831,0.433,0.724,0.694
sample_5173,0.158,0.812,0.83,0.428,0.713,0.7
sample_5174,0.158,0.811,0.834,0.435,0.713,0.699
sample_5175,0.158,0.813,0.829,0.442,0.75,0.697
sample_5176,0.158,0.814,0.818,0.441,0.77,0.708
sample_5177,0.158,0.813,0.817,0.436,0.737,0.711
sample_5178,0.158,0.804,0.828,0.437,0.734,0.703
sample_5179,0.158,0.795,0.839,0.44,0.719,0.703
sample_5180,0.158,0.796,0.826,0.43,0.727,0.709
sample_5181,0.204,0.804,0.817,0.421,0.74,0.714
sample_5182,0.204,0.81,0.824,0.417,0.708,0.707
sample_5183,0.204,0.816,0.834,0.402,0.708,0.7
sample_5184,0.204,0.82,0.845,0.405,0.728,0.695
sample_5185,0.204,0.823,0.852,0.414,0.727,0.691
sample_5186,0.204,0.827,0.857,0.413,0.727,0.69
sample_5187,0.204,0.828,0.827,0.414,0.711,0.698
sample_5188,0.204,0.828,0.797,0.423,0.722,0.705
sample_5189,0.204,0.828,0.812,0.433,0.725,0.7
sample_5190,0.204,0.828,0.83,0.434,0.727,0.694
sample_5191,0.204,0.827,0.826,0.435,0.732,0.697
sample_5192,0.204,0.826,0.82,0.441,0.731,0.7
sample_5193,0.204,0.827,0.83,0.437,0.735,0.695
sample_5194,0.204,0.827,0.836,0.435,0.729,0.688
sample_5195,0.204,0.823,0.833,0.434,0.705,0.692
sample_5196,0.204,0.819,0.828,0.433,0.708,0.701
sample_5197,0.204,0.818,0.827,0.432,0.718,0.704
sample_5198,0.204,0.819,0.847,0.424,0.703,0.7
sample_5199,0.204,0.819,0.843,0.42,0.746,0.706
sample_5200,0.204,0.819,0.833,0.414,0.762,0.709
sample_5201,0.175,0.818,0.824,0.411,0.718,0.709
sample_5202,0.175,0.818,0.81,0.417,0.735,0.707
sample_5203,0.175,0.82,0.829,0.413,0.754,0.699
sample_5204,0.175,0.822,0.837,0.41,0.706,0.699
sample_5205,0.175,0.824,0.825,0.408,0.721,0.704
sample_5206,0.175,0.827,0.827,0.407,0.715,0.7
sample_5207,0.175,0.827,0.838,0.399,0.678,0.698
sample_5208,0.175,0.824,0.839,0.4,0.699,0.7
sample_5209,0.175,0.827,0.839,0.408,0.72,0.697
sample_5210,0.175,0.834,0.823,0.405,0.742,0.696
sample_5211,0.175,0.838,0.826,0.397,0.744,0.692
sample_5212,0.175,0.835,0.829,0.394,0.734,0.7
sample_5213,0.175,0.832,0.813,0.397,0.737,0.704
sample_5214,0.175,0.834,0.827,0.399,0.708,0.697
sample_5215,0.175,0.836,0.83,0.402,0.685,0.697
sample_5216,0.175,0.837,0.823,0.401,0.716,0.697
sample_5217,0.175,0.831,0.828,0.415,0.728,0.697
sample_5218,0.175,0.823,0.839,0.427,0.734,0.697
sample_5219,0.175,0.823,0.844,0.429,0.741,0.698
sample_5220,0.175,0.828,0.838,0.417,0.741,0.701
sample_5221,0.179,0.833,0.828,0.401,0.732,0.704
sample_5222,0.179,0.839,0.814,0.396,0.691,0.709
sample_5223,0.179,0.84,0.82,0.394,0.727,0.705
sample_5224,0.179,0.842,0.826,0.399,0.736,0.697
sample_5225,0.179,0.845,0.834,0.405,0.696,0.693
sample_5226,0.179,0.844,0.829,0.405,0.752,0.694
sample_5227,0.179,0.843,0.808,0.408,0.755,0.703
sample_5228,0.179,0.84,0.837,0.417,0.73,0.694
sample_5229,0.179,0.837,0.856,0.42,0.741,0.686
sample_5230,0.179,0.838,0.834,0.42,0.745,0.693
sample_5231,0.179,0.835,0.828,0.42,0.754,0.698
sample_5232,0.179,0.831,0.826,0.413,0.732,0.702
sample_5233,0.179,0.83,0.801,0.419,0.745,0.711
sample_5234,0.179,0.832,0.817,0.413,0.768,0.708
sample_5235,0.179,0.834,0.835,0.411,0.75,0.702
sample_5236,0.179,0.837,0.833,0.416,0.741,0.698
sample_5237,0.179,0.838,0.837,0.421,0.756,0.691
sample_5238,0.179,0.832,0.84,0.427,0.752,0.692
sample_5239,0.179,0.818,0.849,0.429,0.725,0.694
sample_5240,0.179,0.809,0.842,0.433,0.708,0.698
sample_5241,0.145,0.804,0.831,0.426,0.693,0.701
sample_5242,0.145,0.799,0.821,0.417,0.715,0.709
sample_5243,0.145,0.798,0.817,0.413,0.755,0.709
sample_5244,0.145,0.798,0.825,0.408,0.752,0.706
sample_5245,0.145,0.798,0.842,0.401,0.733,0.701
sample_5246,0.145,0.798,0.849,0.394,0.738,0.696
sample_5247,0.145,0.803,0.841,0.388,0.728,0.699
sample_5248,0.145,0.812,0.82,0.392,0.715,0.704
sample_5249,0.145,0.815,0.817,0.393,0.745,0.695
sample_5250,0.145,0.817,0.828,0.39,0.747,0.692
sample_5251,0.145,0.824,0.826,0.398,0.76,0.695
sample_5252,0.145,0.828,0.831,0.399,0.758,0.691
sample_5253,0.145,0.828,0.833,0.402,0.741,0.69
sample_5254,0.145,0.831,0.817,0.416,0.738,0.693
sample_5255,0.145,0.831,0.815,0.432,0.751,0.693
sample_5256,0.145,0.83,0.824,0.447,0.742,0.691
sample_5257,0.145,0.831,0.829,0.459,0.73,0.693
sample_5258,0.145,0.833,0.838,0.472,0.74,0.694
sample_5259,0.145,0.831,0.84,0.479,0.752,0.695
sample_5260,0.145,0.825,0.833,0.486,0.748,0.692
sample_5261,0.078,0.82,0.834,0.498,0.711,0.689
sample_5262,0.078,0.816,0.825,0.499,0.709,0.695
sample_5263,0.078,0.813,0.831,0.501,0.731,0.694
sample_5264,0.078,0.811,0.848,0.508,0.745,0.689
sample_5265,0.078,0.812,0.844,0.521,0.752,0.692
sample_5266,0.078,0.815,0.84,0.532,0.737,0.691
sample_5267,0.078,0.817,0.834,0.532,0.752,0.694
sample_5268,0.078,0.824,0.828,0.539,0.749,0.698
sample_5269,0.078,0.839,0.841,0.559,0.711,0.69
sample_5270,0.078,0.848,0.842,0.574,0.718,0.69
sample_5271,0.078,0.857,0.83,0.587,0.747,0.694
sample_5272,0.078,0.861,0.836,0.61,0.743,0.687
sample_5273,0.078,0.861,0.832,0.631,0.714,0.691
sample_5274,0.078,0.856,0.826,0.63,0.745,0.7
sample_5275,0.078,0.844,0.821,0.617,0.749,0.708
sample_5276,0.078,0.836,0.823,0.613,0.704,0.714
sample_5277,0.078,0.835,0.831,0.607,0.694,0.71
sample_5278,0.078,0.837,0.827,0.596,0.704,0.704
sample_5279,0.078,0.84,0.828,0.582,0.707,0.706
sample_5280,0.078,0.842,0.825,0.573,0.703,0.71
sample_5281,0.232,0.839,0.832,0.566,0.715,0.706
sample_5282,0.232,0.835,0.839,0.56,0.737,0.699
sample_5283,0.232,0.837,0.834,0.555,0.746,0.696
sample_5284,0.232,0.836,0.826,0.547,0.758,0.698
sample_5285,0.232,0.839,0.816,0.548,0.789,0.696
sample_5286,0.232,0.844,0.808,0.551,0.738,0.703
sample_5287,0.232,0.838,0.816,0.537,0.699,0.706
sample_5288,0.232,0.836,0.809,0.537,0.72,0.706
sample_5289,0.232,0.839,0.817,0.55,0.736,0.702
sample_5290,0.232,0.838,0.834,0.544,0.73,0.698
